movie_name,release_year,duration,rating,num_of_likes
The Shawshank Redemption,1994,2h 22m,9.3,2.8M
The Godfather,1972,2h 55m,9.2,2M
The Dark Knight,2008,2h 32m,9.0,2.8M
The Godfather: Part II,1974,3h 22m,9.0,1.3M
12 Angry Men,1957,1h 36m,9.0,835K
Schindler's List,1993,3h 15m,9.0,1.4M
The Lord of the Rings: The Return of the King,2003,3h 21m,9.0,1.9M
Pulp Fiction,1994,2h 34m,8.9,2.2M
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,8.8,1.9M
"Il Buono, Il Brutto, Il Cattivo",1966,2h 41m,8.8,791K
Forrest Gump,1994,2h 22m,8.8,2.2M
Fight Club,1999,2h 19m,8.8,2.2M
The Lord of the Rings: The Two Towers,2002,2h 59m,8.8,1.7M
Inception,2010,2h 28m,8.8,2.5M
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,8.7,1.3M
The Matrix,1999,2h 16m,8.7,2M
GoodFellas,1990,2h 25m,8.7,1.2M
One Flew Over the Cuckoo's Nest,1975,2h 13m,8.7,1M
Se7en,1995,2h 7m,8.6,1.7M
Spider-man: Across the Spider-verse,2023,2h 20m,8.7,272K
It's a Wonderful Life,1946,2h 10m,8.6,480K
Shichinin No Samurai,1954,3h 27m,8.6,359K
Interstellar,2014,2h 49m,8.7,2M
The Silence of the Lambs,1991,1h 58m,8.6,1.5M
Saving Private Ryan,1998,2h 49m,8.6,1.5M
City of God,2002,2h 10m,8.6,783K
Life Is Beautiful,1997,1h 56m,8.6,724K
The Green Mile,1999,3h 9m,8.6,1.4M
Star Wars: Episode IV - A New Hope,1977,2h 1m,8.6,1.4M
Terminator 2: Judgment Day,1991,2h 17m,8.6,1.1M
Back to the Future,1985,1h 56m,8.5,1.3M
Spirited Away,2001,2h 5m,8.6,812K
The Pianist,2002,2h 30m,8.5,880K
Psycho,1960,1h 49m,8.5,700K
Parasite,2019,2h 12m,8.5,892K
Gladiator,2000,2h 35m,8.5,1.6M
The Lion King,1994,1h 28m,8.5,1.1M
Léon,1994,1h 50m,8.5,1.2M
American History X,1998,1h 59m,8.5,1.2M
The Departed,2006,2h 31m,8.5,1.4M
Whiplash,2014,1h 46m,8.5,935K
The Prestige,2006,2h 10m,8.5,1.4M
The Usual Suspects,1995,1h 46m,8.5,1.1M
Oppenheimer,2023,3h,8.6,453K
Grave of the Fireflies,1988,1h 29m,8.5,297K
Seppuku,1962,2h 13m,8.6,64K
Casablanca,1942,1h 42m,8.5,593K
Intouchables,2011,1h 52m,8.5,900K
Modern Times,1936,1h 27m,8.5,253K
Cinema Paradiso,1988,2h 35m,8.5,274K
C'era Una Volta Il West,1968,2h 45m,8.5,342K
Rear Window,1954,1h 52m,8.5,510K
Alien,1979,1h 57m,8.5,921K
City Lights,1931,1h 27m,8.5,192K
Apocalypse Now,1979,2h 27m,8.4,693K
Memento,2000,1h 53m,8.4,1.3M
Django Unchained,2012,2h 45m,8.5,1.6M
Raiders of the Lost Ark,1981,1h 55m,8.4,1M
WALL·E,2008,1h 38m,8.4,1.2M
Das Leben der Anderen,2006,2h 17m,8.4,402K
Sunset Blvd,1950,1h 50m,8.4,231K
Paths of Glory,1957,1h 28m,8.4,207K
Avengers: Infinity War,2018,2h 29m,8.4,1.2M
The Shining,1980,2h 26m,8.4,1.1M
The Great Dictator,1940,2h 5m,8.4,232K
Witness for the Prosecution,1957,1h 56m,8.4,133K
Spider-Man: Into the Spider-Verse,2018,1h 57m,8.4,632K
Alien 2,1986,2h 17m,8.4,744K
Inglourious Basterds,2009,2h 33m,8.4,1.5M
The Dark Knight Rises,2012,2h 44m,8.4,1.8M
American Beauty,1999,2h 2m,8.3,1.2M
Dr,1964,1h 35m,8.4,507K
Oldeuboi,2003,1h 41m,8.4,612K
Coco,2017,1h 45m,8.4,557K
Amadeus,1984,2h 40m,8.4,418K
Toy Story,1995,1h 21m,8.3,1M
Das Boot,1981,2h 29m,8.4,259K
Braveheart,1995,2h 58m,8.3,1.1M
Avengers: Endgame,2019,3h 1m,8.4,1.2M
Joker,2019,2h 2m,8.4,1.4M
Mononoke-hime,1997,2h 14m,8.3,417K
Good Will Hunting,1997,2h 6m,8.3,1M
Once Upon a Time in America,1984,3h 49m,8.3,367K
Kimi No Na Wa,2016,1h 46m,8.4,300K
3 Idiots,2009,2h 50m,8.4,419K
Tengoku to Jigoku,1963,2h 23m,8.4,50K
Singin' in the Rain,1952,1h 43m,8.3,254K
Capharnaüm,2018,2h 6m,8.4,100K
Requiem for a Dream,2000,1h 42m,8.3,876K
Toy Story 3,2010,1h 43m,8.3,871K
Idi I Smotri,1985,2h 22m,8.4,90K
Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,8.3,1.1M
Eternal Sunshine of the Spotless Mind,2004,1h 48m,8.3,1M
2001: A Space Odyssey,1968,2h 29m,8.3,700K
Jagten,2012,1h 55m,8.3,351K
Reservoir Dogs,1992,1h 39m,8.3,1.1M
Ikiru,1952,2h 23m,8.3,84K
Lawrence of Arabia,1962,3h 38m,8.3,306K
Citizen Kane,1941,1h 59m,8.3,457K
M - Eine Stadt sucht einen Mörder,1931,1h 57m,8.3,165K
The Apartment,1960,2h 5m,8.3,191K
North by Northwest,1959,2h 16m,8.3,339K
Vertigo,1958,2h 8m,8.3,417K
Double Indemnity,1944,1h 47m,8.3,164K
Le fabuleux destin d'Amélie Poulain,2001,2h 2m,8.3,779K
Scarface,1983,2h 50m,8.3,887K
Full Metal Jacket,1987,1h 56m,8.3,771K
A Clockwork Orange,1971,2h 16m,8.3,861K
Incendies,2010,2h 11m,8.3,190K
Heat,1995,2h 50m,8.3,695K
Up,2009,1h 36m,8.3,1.1M
Hamilton,2020,2h 40m,8.3,106K
To Kill a Mockingbird,1962,2h 9m,8.3,327K
The Sting,1973,2h 9m,8.3,273K
Jodaeiye Nader Az Simin,2011,2h 3m,8.3,253K
Indiana Jones and the Last Crusade,1989,2h 7m,8.2,793K
Metropolis,1927,2h 33m,8.3,181K
Die Hard,1988,2h 12m,8.2,914K
Taare Zameen Par,2007,2h 45m,8.3,202K
Snatch,2000,1h 44m,8.2,888K
Ladri Di Biciclette,1948,1h 29m,8.3,171K
L,1997,2h 18m,8.2,602K
Taxi Driver,1976,1h 54m,8.2,888K
1917,2019,1h 59m,8.2,644K
Der Untergang,2004,2h 36m,8.2,367K
Dangal,2016,2h 41m,8.3,202K
Per qualche dollaro in più,1965,2h 12m,8.2,268K
Top Gun: Maverick,2022,2h 10m,8.3,633K
Batman Begins,2005,2h 20m,8.2,1.5M
Some Like It Hot,1959,2h 1m,8.2,277K
The Kid,1921,1h 8m,8.2,132K
The Wolf of Wall Street,2013,3h,8.2,1.5M
The Father,2020,1h 37m,8.2,178K
Green Book,2018,2h 10m,8.2,537K
All About Eve,1950,2h 18m,8.2,136K
Judgment at Nuremberg,1961,2h 59m,8.3,82K
The Truman Show,1998,1h 43m,8.2,1.1M
There Will Be Blood,2007,2h 38m,8.2,620K
Casino,1995,2h 58m,8.2,546K
Ran,1985,2h 40m,8.2,132K
Shutter Island,2010,2h 18m,8.2,1.4M
El Laberinto Del Fauno,2006,1h 58m,8.2,690K
The Sixth Sense,1999,1h 47m,8.2,1M
Unforgiven,1992,2h 10m,8.2,427K
Jurassic Park,1993,2h 7m,8.2,1M
A Beautiful Mind,2001,2h 15m,8.2,964K
The Treasure of the Sierra Madre,1948,2h 6m,8.2,130K
Yôjinbô,1961,1h 50m,8.2,128K
No Country for Old Men,2007,2h 2m,8.2,1M
Kill Bill: Vol,2003,1h 51m,8.2,1.2M
Monty Python and the Holy Grail,1975,1h 31m,8.2,559K
The Great Escape,1963,2h 52m,8.2,253K
The Thing,1982,1h 49m,8.2,449K
Rashōmon,1950,1h 28m,8.2,176K
Finding Nemo,2003,1h 40m,8.2,1.1M
The Elephant Man,1980,2h 4m,8.2,252K
Chinatown,1974,2h 10m,8.2,341K
Hauru No Ugoku Shiro,2004,1h 59m,8.2,426K
Dial M for Murder,1954,1h 45m,8.2,184K
Gone with the Wind,1939,3h 58m,8.2,327K
V for Vendetta,2005,2h 12m,8.2,1.2M
Raging Bull,1980,2h 9m,8.1,370K
Spider-Man: No Way Home,2021,2h 28m,8.2,834K
"Lock, Stock and Two Smoking Barrels",1998,1h 47m,8.1,603K
El Secreto De Sus Ojos,2009,2h 9m,8.2,217K
Prisoners,2013,2h 33m,8.1,773K
Inside Out,2015,1h 35m,8.1,756K
"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,8.1,537K
The Bridge on the River Kwai,1957,2h 41m,8.1,229K
Trainspotting,1996,1h 33m,8.1,711K
Fargo,1996,1h 38m,8.1,704K
Warrior,2011,2h 20m,8.1,488K
Gran Torino,2008,1h 56m,8.1,799K
Catch Me If You Can,2002,2h 21m,8.1,1.1M
My Neighbour Totoro,1988,1h 26m,8.1,363K
Million Dollar Baby,2004,2h 12m,8.1,708K
Klaus,2019,1h 36m,8.2,172K
Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,8.1,919K
Bacheha-Ye Aseman,1997,1h 29m,8.2,78K
Blade Runner,1982,1h 57m,8.1,802K
12 Years a Slave,2013,2h 14m,8.1,726K
Before Sunrise,1995,1h 41m,8.1,328K
The Grand Budapest Hotel,2014,1h 39m,8.1,860K
The Gold Rush,1925,1h 35m,8.1,116K
Ben-Hur,1959,3h 32m,8.1,248K
Gone Girl,2014,2h 29m,8.1,1M
Barry Lyndon,1975,3h 5m,8.1,177K
On the Waterfront,1954,1h 48m,8.1,161K
Hacksaw Ridge,2016,2h 19m,8.1,569K
In the Name of the Father,1993,2h 13m,8.1,183K
Salinui Chueok,2003,2h 11m,8.1,204K
The General,1926,1h 18m,8.1,96K
The Deer Hunter,1978,3h 3m,8.1,353K
Smultronstället,1957,1h 31m,8.1,112K
Le Salaire De La Peur,1953,2h 11m,8.2,65K
The Third Man,1949,1h 44m,8.1,178K
Relatos Salvajes,2014,2h 2m,8.1,210K
Sherlock Jr,1924,45m,8.2,54K
Dead Poets Society,1989,2h 8m,8.1,523K
Mad Max: Fury Road,2015,2h,8.1,1.1M
Mr,1939,2h 9m,8.1,119K
"Monsters, Inc",2001,1h 32m,8.1,951K
How to Train Your Dragon,2010,1h 38m,8.1,777K
Jaws,1975,2h 4m,8.1,641K
Mary and Max,2009,1h 32m,8.1,183K
Det Sjunde Inseglet,1957,1h 36m,8.1,193K
Room,2015,1h 58m,8.1,439K
Ford v,2019,2h 32m,8.1,439K
The Big Lebowski,1998,1h 57m,8.1,840K
Tokyo Story,1953,2h 16m,8.1,66K
Ratatouille,2007,1h 51m,8.1,790K
Rocky,1976,2h,8.1,611K
Hotel Rwanda,2004,2h 1m,8.1,366K
La passion de Jeanne d'Arc,1928,1h 50m,8.1,59K
Logan,2017,2h 17m,8.1,805K
Spotlight,2015,2h 9m,8.1,490K
Platoon,1986,2h,8.1,429K
The Terminator,1984,1h 47m,8.1,902K
Jai Bhim,2021,2h 44m,8.8,211K
Before Sunset,2004,1h 20m,8.1,280K
Rush,2013,2h 3m,8.1,500K
Network,1976,2h 1m,8.1,166K
Stand by Me,1986,1h 29m,8.1,428K
The Best Years of Our Lives,1946,2h 50m,8.1,68K
The Exorcist,1973,2h 2m,8.1,435K
La haine,1995,1h 38m,8.1,188K
The Wizard of Oz,1939,1h 42m,8.1,417K
Into the Wild,2007,2h 28m,8.1,644K
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,8.1,1.2M
The Incredibles,2004,1h 55m,8.0,781K
To Be or Not to Be,1942,1h 39m,8.2,41K
Hachi: A Dog's Tale,2009,1h 33m,8.1,301K
Ah-ga-ssi,2016,2h 25m,8.1,163K
Groundhog Day,1993,1h 41m,8.0,663K
La battaglia di Algeri,1966,2h 1m,8.1,64K
Babam Ve Oglum,2005,1h 52m,8.2,90K
The Grapes of Wrath,1940,2h 9m,8.1,98K
Amores perros,2000,2h 34m,8.1,249K
Rebecca,1940,2h 10m,8.1,143K
Cool Hand Luke,1967,2h 7m,8.1,185K
The Sound of Music,1965,2h 52m,8.1,250K
Pather Panchali,1955,2h 5m,8.2,36K
It Happened One Night,1934,1h 45m,8.1,109K
The Iron Giant,1999,1h 26m,8.1,217K
The Help,2011,2h 26m,8.1,480K
The 400 Blows,1959,1h 39m,8.1,125K
Persona,1966,1h 25m,8.1,127K
Life of Brian,1979,1h 34m,8.0,415K
Aladdin,1992,1h 30m,8.0,450K
Drishyam,2015,2h 43m,8.2,91K
